Абсолютный путь;Относительный путь;Класс
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0000.jpg;dataset/random_dataset/1076.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0001.jpg;dataset/random_dataset/4075.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0002.jpg;dataset/random_dataset/3602.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0003.jpg;dataset/random_dataset/7219.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0004.jpg;dataset/random_dataset/9080.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0005.jpg;dataset/random_dataset/0542.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0006.jpg;dataset/random_dataset/4108.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0007.jpg;dataset/random_dataset/9858.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0008.jpg;dataset/random_dataset/8468.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0009.jpg;dataset/random_dataset/4626.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0010.jpg;dataset/random_dataset/9042.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0011.jpg;dataset/random_dataset/2522.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0012.jpg;dataset/random_dataset/4092.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0013.jpg;dataset/random_dataset/5102.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0014.jpg;dataset/random_dataset/2834.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0015.jpg;dataset/random_dataset/5419.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0016.jpg;dataset/random_dataset/1721.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0017.jpg;dataset/random_dataset/1692.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0018.jpg;dataset/random_dataset/6560.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0019.jpg;dataset/random_dataset/8245.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0020.jpg;dataset/random_dataset/1389.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0021.jpg;dataset/random_dataset/6012.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0022.jpg;dataset/random_dataset/4818.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0023.jpg;dataset/random_dataset/9041.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0024.jpg;dataset/random_dataset/3854.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0025.jpg;dataset/random_dataset/3055.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0026.jpg;dataset/random_dataset/0817.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0027.jpg;dataset/random_dataset/0878.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0028.jpg;dataset/random_dataset/0203.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0029.jpg;dataset/random_dataset/0607.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0030.jpg;dataset/random_dataset/2773.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0031.jpg;dataset/random_dataset/2597.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0032.jpg;dataset/random_dataset/7716.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0033.jpg;dataset/random_dataset/6892.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0034.jpg;dataset/random_dataset/6173.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0035.jpg;dataset/random_dataset/8262.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0036.jpg;dataset/random_dataset/6950.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0037.jpg;dataset/random_dataset/2787.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0038.jpg;dataset/random_dataset/4114.jpg;rose
